,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
163.png,0.3441,0.8471,0.2214,0.4417,0.5121,0.9172,0.3625,0.6128,1
124.png,0.3348,0.882,0.8614,0.8782,0.5017,0.9373,0.9255,0.9351,1
162.png,0.4017,0.75,0.7721,0.7505,0.5731,0.8571,0.8714,0.8575,1
234.png,0.4966,0.4934,0.4865,0.5048,0.6636,0.6608,0.6546,0.6709,1
1.png,0.6334,0.3998,0.8612,0.8343,0.7755,0.5712,0.9254,0.9096,1
133.png,0.2995,0.825,0.7706,0.7842,0.4609,0.9041,0.8704,0.879,1
122.png,0.1288,0.3812,0.7897,0.5103,0.2281,0.552,0.8825,0.6757,1
17.png,0.7414,0.8818,0.8582,0.8708,0.8515,0.9372,0.9237,0.9309,1
103.png,0.7037,0.8847,0.7405,0.8047,0.8261,0.9388,0.8509,0.8918,1
218.png,0.2902,0.0002,0.0002,0.0002,0.4498,0.0002,0.0002,0.0002,1
251.png,0.1744,0.8202,0.4182,0.5289,0.297,0.9012,0.5897,0.6918,1
171.png,0.1422,0.8162,0.7937,0.8308,0.249,0.8988,0.885,0.9076,1
254.png,0.5652,0.3786,0.6616,0.6104,0.7222,0.5492,0.7963,0.7581,1
109.png,0.6129,0.873,0.8542,0.8938,0.76,0.9322,0.9214,0.9439,1
165.png,0.6827,0.846,0.7108,0.8394,0.8114,0.9166,0.8309,0.9127,1
268.png,0.4771,0.515,0.4385,0.5606,0.6459,0.6799,0.6096,0.7184,1
265.png,0.685,0.1496,0.8592,0.7023,0.8131,0.2601,0.9243,0.8251,1
44.png,0.6534,0.4175,0.6848,0.754,0.7904,0.5891,0.8129,0.8597,1
261.png,0.3264,0.776,0.6933,0.7216,0.4922,0.8738,0.8188,0.8383,1
37.png,0.627,0.8294,0.8149,0.8242,0.7708,0.9067,0.898,0.9036,1
79.png,0.4692,0.8155,0.7902,0.8113,0.6387,0.8984,0.8828,0.8958,1
277.png,0.3372,0.7426,0.7431,0.749,0.5043,0.8523,0.8526,0.8565,1
58.png,0.6068,0.8563,0.6993,0.8498,0.7553,0.9226,0.823,0.9188,1
53.png,0.6856,0.8757,0.649,0.8554,0.8134,0.9337,0.7872,0.922,1
57.png,0.5573,0.8003,0.346,0.5915,0.7157,0.8891,0.5141,0.7433,1
55.png,0.504,0.8829,0.866,0.8805,0.6702,0.9378,0.9282,0.9364,1
287.png,0.6291,0.42,0.8659,0.7692,0.7723,0.5915,0.9281,0.8696,1
8.png,0.3602,0.3327,0.9284,0.6027,0.5296,0.4993,0.9629,0.7521,1
276.png,0.3778,0.7224,0.7248,0.7307,0.5484,0.8388,0.8404,0.8443,1
35.png,0.1774,0.8576,0.8912,0.8669,0.3013,0.9233,0.9424,0.9287,1
300.png,0.3707,0.7342,0.8914,0.7937,0.5408,0.8467,0.9426,0.885,1
84.png,0.2104,0.8623,0.7022,0.8776,0.3475,0.926,0.8251,0.9348,1
43.png,0.6939,0.845,0.8333,0.8294,0.8193,0.916,0.909,0.9068,1
9.png,0.839,0.8755,0.8838,0.8812,0.9125,0.9336,0.9383,0.9368,1
30.png,0.6169,0.8283,0.719,0.7816,0.763,0.9061,0.8365,0.8774,1
51.png,0.1234,0.8144,0.0847,0.3112,0.2197,0.8977,0.1561,0.4747,1
27.png,0.6237,0.1247,0.824,0.7459,0.7682,0.2217,0.9035,0.8544,1
7.png,0.5887,0.6974,0.8798,0.7331,0.7411,0.8217,0.9361,0.846,1
275.png,0.6323,0.8582,0.8078,0.8203,0.7747,0.9237,0.8937,0.9013,1
26.png,0.4265,0.8369,0.7152,0.8468,0.5979,0.9112,0.834,0.9171,1
294.png,0.5879,0.8359,0.8067,0.8557,0.7404,0.9106,0.893,0.9222,1
42.png,0.2344,0.8338,0.8322,0.8642,0.3797,0.9094,0.9084,0.9272,1
76.png,0.6108,0.9187,0.4032,0.7285,0.7584,0.9576,0.5747,0.8429,1
286.png,0.3575,0.7461,0.7883,0.7335,0.5266,0.8546,0.8816,0.8463,1
71.png,0.7198,0.8423,0.6227,0.7494,0.8371,0.9144,0.7674,0.8567,1
272.png,0.6873,0.8733,0.8146,0.8223,0.8147,0.9323,0.8978,0.9025,1
296.png,0.5476,0.8484,0.8583,0.8479,0.7076,0.918,0.9238,0.9177,1
68.png,0.668,0.6305,0.6165,0.7118,0.801,0.7734,0.7628,0.8316,1
5.png,0.431,0.3516,0.8694,0.6655,0.6024,0.5202,0.9301,0.7991,1
63.png,0.5613,0.7107,0.7047,0.6986,0.719,0.8309,0.8268,0.8226,1
273.png,0.5048,0.8884,0.7136,0.7467,0.6709,0.9409,0.8328,0.855,1
32.png,0.2808,0.8868,0.9065,0.8875,0.4385,0.94,0.951,0.9404,1
